"source","target","id","developer_comments"
"XMESS_0000","姐姐，
谢谢你送我回家。","XMESS_0000","机翻辅助：

姐姐，
谢谢你送我回家。

姐姐，
谢谢你送我。"
"XMESS_0001","谢谢惠顾。","XMESS_0001","机翻辅助：

谢谢惠顾。

一直以来谢谢您。

一直以来谢谢你。"
"XMESS_0002","晚上会变冷，
睡觉时要盖好被子哦。","XMESS_0002","机翻辅助：

晚上会变冷，
睡觉时要盖好被子哦。

晚上很冷，
睡觉时要注意保暖。

晚上会很冷，
所以要注意保暖睡觉。"
"XMESS_0003","好——的。","XMESS_0003","机翻辅助：

好——的。

是—。

是的。"
"XMESS_0004","那么，明天见咯。","XMESS_0004","机翻辅助：

那么，明天见咯。

那么，明天见。"
"XMESS_0005","反正也没必要急着回家。","XMESS_0005","机翻辅助：

反正也没必要急着回家。

也没有必要就这样急着回去。

也没必要就这样急着回去。"
"XMESS_0006","以前，
顺便去一下凛告诉我的温泉设施吧。","XMESS_0006","机翻辅助：

以前，
顺便去一下凛告诉我的温泉设施吧。

要不要去小凛之前告诉我的温泉设施看看呢？


去凛以前告诉过我们的温泉吧。"
"XMESS_0007","我记得她说过，
那里的温泉以美肌闻名……","XMESS_0007","机翻辅助：

我记得她说过，
那里的温泉以美肌闻名……

确实因为美肌的热水而出名……


确实是有名的美肤温泉……"
"XMESS_0008","好柔软的热水呢。","XMESS_0008","机翻辅助：

好柔软的热水呢。

好柔软的热水啊。

温和的热水。"
"XMESS_0009","也许是心理作用吧，
感觉皮肤变得光滑了。","XMESS_0009","机翻辅助：

也许是心理作用吧，
感觉皮肤变得光滑了。

不知道是不是心理作用，
感觉皮肤变得光滑了。

总觉得肌肤变得光滑了。"
"XMESS_0010","呼……真舒服。","XMESS_0010","机翻辅助：

呼……真舒服。

嗯……好舒服啊。"
"XMESS_0011","没想到我家附近就有这种地方。
","XMESS_0011","机翻辅助：

没想到我家附近就有这种地方。


我家附近竟然有这样的地方。"
"XMESS_0012","话说回来……
抚子的运气真的很好。","XMESS_0012","机翻辅助：

话说回来……
抚子的运气真的很好。

即便如此……
抚子真的很幸运啊。

即便如此……
抚子运气真好。"
"XMESS_0013","没想到才刚搬过来，
就认识了这么好的女孩子。","XMESS_0013","机翻辅助：

没想到才刚搬过来，
就认识了这么好的女孩子。

刚搬过来，
就遇到了那么好的女孩子。

搬家后马上就能遇到那么好的孩子。"
"XMESS_0014","嗯，
到了那个地步的经过，
虽然不是很被表扬……","XMESS_0014","机翻辅助：

嗯，
到了那个地步的经过，
虽然不是很被表扬……

不过，
事情发展到这个地步，
实在不是什么值得称赞的事情……

虽然认识的过程，实在不值得鼓励就是了……"
"XMESS_0015","看到她在这里交到新朋友，
过得这么开心，
我也放心了。","XMESS_0015","机翻辅助：

看到她在这里交到新朋友，
过得这么开心，
我也放心了。

在这里交到了新朋友，
看到她这么开心，
我就放心了。

在这里交到了新朋友，看到那个看起来很开心的孩子就放心了。"
"XMESS_0016","我也来……","XMESS_0016","机翻辅助：

我也来……

我也至少有一次……

我也有一次……"
"XMESS_0017","找机会和她们一起去露营好了。","XMESS_0017","机翻辅助：

找机会和她们一起去露营好了。

和那些孩子一起露营吧。"
