"source","target","id","developer_comments"
"XMESS_0000","让两位久等了。
六位，预定住到明天对吧。","XMESS_0000","机翻辅助：

让两位久等了。
六位，预定住到明天对吧。

让您久等了。
6位，预定到明天住一晚吧。

让您久等了。
6位，您打算到明天住一晚吧。"
"XMESS_0001","好的——","XMESS_0001","机翻辅助：

好的——

是——是。

哈哈。"
"XMESS_0002","那么，
请在这张表格上填写姓名和联络方式。","XMESS_0002","机翻辅助：

那么，
请在这张表格上填写姓名和联络方式。

那么，
请在这张纸上填写您的姓名和联系方式。

那么请在这张表格上填写您的姓名和联系方式。"
"XMESS_0003","好的——","XMESS_0003","机翻辅助：

好的——

是——是。

哈哈。"
"XMESS_0004","感谢您的填写。
入浴时间是晚上八点到11:00，
请注意。","XMESS_0004","机翻辅助：

感谢您的填写。
入浴时间是晚上八点到11:00，
请注意。

谢谢您的填写。
洗澡时间是晚上8点到11点，
请注意。

感谢您的填写。
请注意洗澡时间是晚上8点到11点。"
"XMESS_0005","好的——","XMESS_0005","机翻辅助：

好的——

是——是。

哈哈。"
"XMESS_0006","姐姐，
这之后怎么办？","XMESS_0006","机翻辅助：

姐姐，
这之后怎么办？

姐姐接下来要怎么办？


姐姐接下来怎么办？"
"XMESS_0007","我先暂时告别了。
明天我会再来接你。","XMESS_0007","机翻辅助：

我先暂时告别了。
明天我会再来接你。

我就在这里暂时告别吧。
我明天再来接你。

我在这里暂时分手吧。
明天我再来接你。"
"XMESS_0008","嗯！
请多指教咯，姐姐。","XMESS_0008","机翻辅助：

嗯！
请多指教咯，姐姐。

嗯！
请多关照，姐姐。

嗯！
姐姐，请多关照。"
"XMESS_0009","竹轮之后会有人来接它吧。
","XMESS_0009","机翻辅助：

竹轮之后会有人来接它吧。


竹轮之后会来接我吧。


竹轮待会儿会有人来接的吧。"
"XMESS_0010","是的，
我父母预定会来。","XMESS_0010","机翻辅助：

是的，
我父母预定会来。

是的，
我父母打算来这里。

是的，
我父母会来这里的。"
"XMESS_0011","拜拜，竹轮。
下次再一起玩吧。","XMESS_0011","机翻辅助：

拜拜，竹轮。
下次再一起玩吧。

拜拜，竹轮。
下次再玩吧。"
"XMESS_0012","嗷呜。","XMESS_0012","机翻辅助：

嗷呜。

哇哦。"
"XMESS_0013","好！
那么大家准备好了吗！？","XMESS_0013","机翻辅助：

好！
那么大家准备好了吗！？

好啊！
那么大家准备好了吗！？

好！
那么大家准备好了吗？？"
"XMESS_0014","期盼已久的圣诞露营！","XMESS_0014","机翻辅助：

期盼已久的圣诞露营！

盼望已久的圣诞露营！

期待已久的圣诞夏令营！"
"XMESS_0015","开始啦啊啊啊！！","XMESS_0015","机翻辅助：

开始啦啊啊啊！！

开始了！！

开始啦！！"
"XMESS_0016","哦哦——！","XMESS_0016","机翻辅助：

哦哦——！

喂喂！

噢——！"
"XMESS_0017","哇呼！","XMESS_0017","机翻辅助：

哇呼！

哇！

哇哦！"
