"source","target","id","developer_comments"
"XMESS_0000","唔，气温变低了。","XMESS_0000","机翻辅助：

唔，气温变低了。

嗯，已经很冷了。

嗯，天气变冷了。"
"XMESS_0001","差不多该开始准备BBQ了。","XMESS_0001","机翻辅助：

差不多该开始准备BBQ了。

差不多该开始准备BBQ了吧。

差不多该准备BBQ了吧。"
"XMESS_0002","那么，我要生火了。","XMESS_0002","机翻辅助：

那么，我要生火了。

那么，开始生火了。

那就开始生火了。"
"XMESS_0003","确实，
成型炭更容易着火。","XMESS_0003","机翻辅助：

确实，
成型炭更容易着火。

我记得成型炭比较容易点着。


确实是成型炭比较容易着火。"
"XMESS_0004","先点燃这个……","XMESS_0004","机翻辅助：

先点燃这个……

首先要点燃这个……

先把这个点着……"
"XMESS_0005","真的耶！
一下子就点着了！","XMESS_0005","机翻辅助：

真的耶！
一下子就点着了！

真的！
马上就着火了呢！

是真的！
马上就着火了呢！"
"XMESS_0006","整个炭都变红了。
我用夹炭夹把炭弄碎，
平均铺在上面。","XMESS_0006","机翻辅助：

整个炭都变红了。
我用夹炭夹把炭弄碎，
平均铺在上面。

整个人都红了。
用火把炭弄碎，
让它扩散开来。

整个人都红了啊。
用火钳把木炭打碎，
均匀地展开。"
"XMESS_0007","接下来只要在上面摆上备长炭，
等炭烧起来就OK了。","XMESS_0007","机翻辅助：

接下来只要在上面摆上备长炭，
等炭烧起来就OK了。

然后，
在上面摆上备长炭等着火就可以了。

然后，在上面摆上备长炭，等着点火就OK了。"
"XMESS_0008","哦哦！","XMESS_0008","机翻辅助：

哦哦！

哦！

哇！"
"XMESS_0009","明明，你很行嘛。","XMESS_0009","机翻辅助：

明明，你很行嘛。

明明明明，干得好。

明明，我会的。"
"XMESS_0010","嘿嘿，这点小事不算什么！","XMESS_0010","机翻辅助：

嘿嘿，这点小事不算什么！

嘿嘿，这没什么大不了的！

嘿嘿，这点小事还不算什么！"
"XMESS_0011","不过，火势会不会太强了？","XMESS_0011","机翻辅助：

不过，火势会不会太强了？

但是，火的气势太强了吧？

但是，火势太大会不行？"
"XMESS_0012","唔噢！？","XMESS_0012","机翻辅助：

唔噢！？

哇哦！？

呜呜！？"
"XMESS_0013","肉的话还好，蔬菜肯定会烤焦。","XMESS_0013","机翻辅助：

肉的话还好，蔬菜肯定会烤焦。

肉姑且不论，蔬菜已经确定烤焦了。

肉就不说了，蔬菜都烤焦了。"
"XMESS_0014","嗯～
这种时候，
只要依照位置调整炭的量就好啦～","XMESS_0014","机翻辅助：

嗯～
这种时候，
只要依照位置调整炭的量就好啦～

嗯，
这种时候，
每个地方都可以用炭的量来调节火候。

嗯，
这种时候，
根据每个地方的木炭量来调节火候就好了。"
"XMESS_0015","原来如此！
也就是说，
从一端开始依次制作大火、中火、小火的区域就可以了。","XMESS_0015","机翻辅助：

原来如此！
也就是说，
从一端开始依次制作大火、中火、小火的区域就可以了。

原来如此！只要从边缘开始依序做出大火、中火、小火的区域就行了吧！



原来如此！从一端开始按顺序制作大火、中火、弱火的区域就好了！"
"XMESS_0016","哦，
这样的话肉用大火区，
蔬菜用中火区就可以分开使用了！","XMESS_0016","机翻辅助：

哦，
这样的话肉用大火区，
蔬菜用中火区就可以分开使用了！

哦哦，这么一来，肉放在大火区，蔬菜放在中火区，就可以分别使用了！



哦，这样的话，肉可以分为大火区，蔬菜可以分为中火区！"
"XMESS_0017","烤好的肉和蔬菜，
只要放在小火区就不会冷掉。","XMESS_0017","机翻辅助：

烤好的肉和蔬菜，
只要放在小火区就不会冷掉。

烤好的肉和蔬菜放在小火区的话就凉了。


烤好的肉和蔬菜放在小火区冷却就可以了。"
"XMESS_0018","哦哦～！","XMESS_0018","机翻辅助：

哦哦～！

哦。

噢——"
"XMESS_0019","那么，
实践鸟羽老师难得的指导来烤肉吧！","XMESS_0019","机翻辅助：

那么，
实践鸟羽老师难得的指导来烤肉吧！

那么，
就照着鸟羽老师的指导去烤肉吧！

那么，我就来实践鸟羽老师的宝贵指导，烤肉吧！"
"XMESS_0020","是！","XMESS_0020","机翻辅助：

是！

押忍！"
"XMESS_0021","从昨天就腌好的肉感觉也很棒！
","XMESS_0021","机翻辅助：

从昨天就腌好的肉感觉也很棒！


从前一天开始腌制的肉感觉也很好！


从前一天开始腌制的肉也感觉不错！"
"XMESS_0022","哦～是肋排啊！","XMESS_0022","机翻辅助：

哦～是肋排啊！

哦，是排骨啊！

喂，排骨啊！"
"XMESS_0023","那么，
就用中火区烤配菜的蔬菜卷吧。","XMESS_0023","机翻辅助：

那么，
就用中火区烤配菜的蔬菜卷吧。

那么，
在中火区烤搭配的猪肉卷蔬菜烤架哦。

那就在中火区烤蔬菜卷猪肉吧。"
"XMESS_0024","而且我也带了平底锅过来，就顺便做香蒜虾和香蒜蘑菇吧！

","XMESS_0024","机翻辅助：

而且我也带了平底锅过来，就顺便做香蒜虾和香蒜蘑菇吧！



而且还带了滑板，还做了虾和蘑菇的大虾哦！



我还带来了喜利特，我要做虾和蘑菇的拌饭！"
"XMESS_0025","也准备了配菜的面包哦！","XMESS_0025","机翻辅助：

也准备了配菜的面包哦！

也准备了搭配的面包哦！

配菜的面包也准备好了哦！"
"XMESS_0026","明明，肉已经烤得差不多了吧？","XMESS_0026","机翻辅助：

明明，肉已经烤得差不多了吧？

明明，肉已经烤好了吧？

明明，已经烤了很多肉了吧？"
"XMESS_0027","嗯，蔬菜也烤好了呢。","XMESS_0027","机翻辅助：

嗯，蔬菜也烤好了呢。

嗯，蔬菜也烤好了。"
"XMESS_0028","这样啊。
那么，大家就一起……","XMESS_0028","机翻辅助：

这样啊。
那么，大家就一起……

这样啊。
那么，大家一起……"
"XMESS_0029","我开动了！","XMESS_0029","机翻辅助：

我开动了！"
"XMESS_0030","啊啊，肉真是太棒了～","XMESS_0030","机翻辅助：

啊啊，肉真是太棒了～

啊，肉最棒了。"
"XMESS_0031","噗哈！
好入味，酱汁超棒的～！","XMESS_0031","机翻辅助：

噗哈！
好入味，酱汁超棒的～！

噗！
酱汁，酱汁很好吃！

哈哈！
太棒了，太棒了！"
"XMESS_0032","抚子妹妹，
这个酱汁加了什么？","XMESS_0032","机翻辅助：

抚子妹妹，
这个酱汁加了什么？

抚子，
这个酱汁里有什么？

抚子，
这个酱料里面有什么？"
"XMESS_0033","这个嘛～
酱油、红酒、蜂蜜、巴萨米克醋，
还有磨碎的洋葱……","XMESS_0033","机翻辅助：

这个嘛～
酱油、红酒、蜂蜜、巴萨米克醋，
还有磨碎的洋葱……

开胃菜、酱油、红酒、蜂蜜、香醋、洋葱泥……



嗯，酱油、红酒、蜂蜜、醋拌洋葱……"
"XMESS_0034","还有大蒜和姜吧。
","XMESS_0034","机翻辅助：

还有大蒜和姜吧。


还有大蒜和生姜吧。


还有大蒜和生姜。"
"XMESS_0035","加了这么多啊？","XMESS_0035","机翻辅助：

加了这么多啊？

有那么多吗？"
"XMESS_0036","不过，
或许这酱汁的确让肉吃起来更美味。","XMESS_0036","机翻辅助：

不过，
或许这酱汁的确让肉吃起来更美味。

但是确实，
有这个酱汁才好吃吧。

不过，
确实是有了这些人才好吃。"
"XMESS_0037","为酱汁干杯！
再来一杯啤酒！","XMESS_0037","机翻辅助：

为酱汁干杯！
再来一杯啤酒！

酱汁！
再来一杯啤酒！

给谁来个坎帕！
再来一杯啤酒！"
"XMESS_0038","鸟羽老师，你今天状况超好耶。","XMESS_0038","机翻辅助：

鸟羽老师，你今天状况超好耶。

鸟羽老师，你状态极佳啊。

鸟羽老师，状态非常好啊。"
"XMESS_0039","明明做的西班牙蒜蓉虾也很好吃哦！
","XMESS_0039","机翻辅助：

明明做的西班牙蒜蓉虾也很好吃哦！


明明做的阿希乔也很好吃哦！


明明做的阿希乔也很好吃！"
"XMESS_0040","对吧？露营一定要吃西班牙蒜味虾仁！

","XMESS_0040","机翻辅助：

对吧？露营一定要吃西班牙蒜味虾仁！



是吧？露营的定番阿希乔不能去掉哟！



对吧？露营的固定场所是不能错过的哦！"
"XMESS_0041","好～～
我要继续烤肉了，大家尽量吃吧～～！","XMESS_0041","机翻辅助：

好～～
我要继续烤肉了，大家尽量吃吧～～！

好，我要烤肉，大家多吃点！


好了，因为要烤肉，所以大家要多吃点哦！"
"XMESS_0042","明明，你放太多蒜了。
肉都烧焦了！","XMESS_0042","机翻辅助：

明明，你放太多蒜了。
肉都烧焦了！

明明，载得太多了。
肉加油！

明明，载得太多了。
肉是火的！"
