"source","target","id","developer_comments"
"XMESS_0000","欸，抚子。","XMESS_0000","机翻辅助：

欸，抚子。

喂，抚子。"
"XMESS_0001","直接开往四尾连湖的话，
一下子就会到了，
这样好吗？","XMESS_0001","机翻辅助：

直接开往四尾连湖的话，
一下子就会到了，
这样好吗？

就这样去四尾连湖的话一眨眼就到了，这样也可以吗？



这样往四尾连湖走的话很快就到了，这样也可以吗？"
"XMESS_0002","是吗？","XMESS_0002","机翻辅助：

是吗？"
"XMESS_0003","嗯，应该不用一个小时就会抵达。
大概三、四十分钟左右吧。","XMESS_0003","机翻辅助：

嗯，应该不用一个小时就会抵达。
大概三、四十分钟左右吧。

哦，应该不到一个小时就到了。
大概3、40分钟吧。

啊，应该用不了一个小时就能到。
3、40分钟左右吧。"
"XMESS_0004","既然如此，就在那之前绕去别的地方，增加回忆吧。
","XMESS_0004","机翻辅助：

既然如此，就在那之前绕去别的地方，增加回忆吧。


那就在那之前绕道去哪里增加回忆吧。


那就在那之前顺便找个地方增加回忆吧。"
"XMESS_0005","可是，要去哪里？","XMESS_0005","机翻辅助：

可是，要去哪里？

但是，去哪里？

可是，去哪里？"
"XMESS_0006","抚子，
你有想去的地方吗？","XMESS_0006","机翻辅助：

抚子，
你有想去的地方吗？

抚子，
你有什么想去的地方吗？

抚子，
有什么想去的地方吗？"
"XMESS_0007","只要大家一起去，
哪里都好哦。","XMESS_0007","机翻辅助：

只要大家一起去，
哪里都好哦。

我只要大家一起去，
哪里都可以。

大家一起去的话，
哪里都可以。"
"XMESS_0008","要不要问问大垣他们？","XMESS_0008","机翻辅助：

要不要问问大垣他们？

问一下大垣他们？

也问问大垣他们怎么样？"
"XMESS_0009","啊，对耶！","XMESS_0009","机翻辅助：

啊，对耶！

啊，是啊！"
"XMESS_0010","……","XMESS_0010","机翻辅助：

……

‥‥‥‥。

。"
"XMESS_0011","从刚才开始，
你在烦恼什么？","XMESS_0011","机翻辅助：

从刚才开始，
你在烦恼什么？

你从刚才开始就在烦恼什么？


你刚才一直在烦恼什么？"
"XMESS_0012","不，
刚才抚子联系我，
问我去四尾连湖之前要不要绕道。","XMESS_0012","机翻辅助：

不，
刚才抚子联系我，
问我去四尾连湖之前要不要绕道。

不对，刚才抚子联络我说去四尾连湖之前要不要先绕去别的地方。



不，刚才抚子联系我去四尾连湖之前要不要绕道。"
"XMESS_0013","哦，这样啊。
不过她打算去哪边呢？","XMESS_0013","机翻辅助：

哦，这样啊。
不过她打算去哪边呢？

哦，是吗？
不过你打算顺路去哪里？

啊，是这样啊。
但是你打算去哪里呢？"
"XMESS_0014","她好像还没决定，
说想要听听我的意见。","XMESS_0014","机翻辅助：

她好像还没决定，
说想要听听我的意见。

地点好像还没决定。
也想要我的意见。

地点好像还没有决定。
我也想要我的意见。"
"XMESS_0015","就算你这么说，
我对那附近又不熟。","XMESS_0015","机翻辅助：

就算你这么说，
我对那附近又不熟。

被这么说也没关系啊。
我并不是特别了解那一带的事情。

就算你这么说。
我也不是特别了解那一带的情况。"
"XMESS_0016","这时候就仰赖文明的利器吧。
用手机查查四尾连湖周边的景点好了。
","XMESS_0016","机翻辅助：

这时候就仰赖文明的利器吧。
用手机查查四尾连湖周边的景点好了。


这里依靠文明的利器吗。
用手机查一下四尾连湖周边的景点吧。


这里要依靠文明的利器吗？用手机查一下四尾连湖周边的景点吧。"
"XMESS_0017","说得也是。
两个人一起查的话，结论也会比较快吧。","XMESS_0017","机翻辅助：

说得也是。
两个人一起查的话，结论也会比较快吧。

小气鬼。
两个人调查的话结论也会很快吧。

是啊。
两个人一起调查的话结论会很快得出吧。"
"XMESS_0018","就是啊！","XMESS_0018","机翻辅助：

就是啊！

是啊！"
