"source","target","id","developer_comments"
"XMESS_0000","（爷爷的联络，
　还没来……）","XMESS_0000","机翻辅助：

（爷爷的联络，
　还没来……）

（爷爷还没有联系我……）
　

（还没有收到爷爷的消息……）"
"XMESS_0001","（我是不是拜托他做了什么不可能的事？）","XMESS_0001","机翻辅助：

（我是不是拜托他做了什么不可能的事？）

（是不是拜托你了？）

（是不是太过分了？）"
"XMESS_0002","（总之……）","XMESS_0002","机翻辅助：

（总之……）"
"XMESS_0003","（先等到明天吧）","XMESS_0003","机翻辅助：

（先等到明天吧）

（试着等到明天）

（等到明天再说。）"
"XMESS_0004","爷爷留下的露营地指南……
","XMESS_0004","机翻辅助：

爷爷留下的露营地指南……


爷爷给我放的露营地指南……


爷爷给我的露营地指南……"
"XMESS_0005","我得早点看完，
借给抚子才行。","XMESS_0005","机翻辅助：

我得早点看完，
借给抚子才行。

我得把快的地方全部看一遍，
借给抚子。

得赶紧把所有的东西都看一遍，
再借给抚子。"
"XMESS_0006","话说回来，那家伙……","XMESS_0006","机翻辅助：

话说回来，那家伙……

即便如此，那家伙……"
"XMESS_0007","到底打算选什么地方呢。","XMESS_0007","机翻辅助：

到底打算选什么地方呢。

你打算选择什么样的地方呢。

你打算选择什么样的地方呢？"
"XMESS_0008","（加藤凛的量……）","XMESS_0008","机翻辅助：

（加藤凛的量……）

（加索凛的量是……）

（凛然之量……）"
"XMESS_0009","（减少了不少。
　虽然应该还能再撑几天）","XMESS_0009","机翻辅助：

（减少了不少。
　虽然应该还能再撑几天）

（少了很多啊。
　还能撑几天。）

（真是减少了不少啊。
　好像还有几天就可以吃了。）"
"XMESS_0010","（没办法。
　明天就去加油吧）","XMESS_0010","机翻辅助：

（没办法。
　明天就去加油吧）

（没办法，
　明天也要加油吗？）

（没办法。
　明天就加油吧。）"
"XMESS_0011","（可别没油了啊）","XMESS_0011","机翻辅助：

（可别没油了啊）

（因为我饶了你没有煤气。）

（没气就饶了你了。）"
"XMESS_0012","（齐藤说的，
　加藤凛值下降的事。）","XMESS_0012","机翻辅助：

（齐藤说的，
　加藤凛值下降的事。）

（齐藤说的加索凛降价的话）
　

（齐藤说的关于像素凛降价的事）"
"XMESS_0013","（我查了一下，是真的）","XMESS_0013","机翻辅助：

（我查了一下，是真的）

（查了一下是真的）"
"XMESS_0014","（明天去加油的话……）","XMESS_0014","机翻辅助：

（明天去加油的话……）

（明天要加油的话……）

（明天加油……）"
"XMESS_0015","（就先找找看有没有便宜又近的加油站吧）
　","XMESS_0015","机翻辅助：

（就先找找看有没有便宜又近的加油站吧）
　

（尽量找既便宜又近的看台吧）
　

（尽量找便宜又近的台灯吧）"
