"source","target","id","developer_comments"
"XMESS_0000","各务原同学，
下次露营有想用的道具吗？","XMESS_0000","机翻辅助：

各务原同学，
下次露营有想用的道具吗？

各务原同学，
下一个露营有想使用的工具吗？

各务原同学，
下次露营有想使用的工具吗？"
"XMESS_0001","就算我没有，
我妹可能有，
想用什么就尽管说吧。","XMESS_0001","机翻辅助：

就算我没有，
我妹可能有，
想用什么就尽管说吧。

即使我没有，
妹妹也有，
如果有希望的话请说。

即使我没有，
妹妹也有可能有，
如果有希望的话请告诉我哦。"
"MSTD_0020-0","“可能会全力拜托你”","MSTD_0020-0","机翻辅助：

“可能会全力拜托你”

“可能会全力依赖”

“可能会全力依靠”"
"MSTD_0020-1","“什么都行吗？”","MSTD_0020-1","机翻辅助：

“什么都行吗？”

“什么都可以吗？”"
"MSTD_0020-2","“感觉好羡慕”","MSTD_0020-2","机翻辅助：

“感觉好羡慕”

“总觉得很羡慕”"
"XMESS_0002","视情况，
我可能会全力拜托你，
希望你做好心理准备。","XMESS_0002","机翻辅助：

视情况，
我可能会全力拜托你，
希望你做好心理准备。

根据情况可能会全力依靠，如果能有这样的打算的话我会很高兴的。



有的时候可能会全力依赖你，如果你有这样的想法我会很高兴的。"
"XMESS_0003","呵呵，
我知道了。
到时候我会尽全力回应你的期待。","XMESS_0003","机翻辅助：

呵呵，
我知道了。
到时候我会尽全力回应你的期待。

呵呵，
我知道了。
那个时候要尽全力回应。

呵呵，
明白了。
那个时候我会全力以赴的。"
"XMESS_0004","谢谢你！","XMESS_0004","机翻辅助：

谢谢你！

谢谢

谢谢！"
"XMESS_0005","只要是东西都可以吗？
例如除了烹饪器具以外……","XMESS_0005","机翻辅助：

只要是东西都可以吗？
例如除了烹饪器具以外……

那个什么都可以吗？
例如除了烹调器具以外……

什么都可以吗？
例如厨具以外的东西……"
"XMESS_0006","嗯，没问题。
只要是能由我准备的东西，什么都可以哦。
","XMESS_0006","机翻辅助：

嗯，没问题。
只要是能由我准备的东西，什么都可以哦。


嗯，没关系。
只要是我能准备的，什么都可以。


嗯，没问题。
只要是我能准备的东西，什么都可以。"
"XMESS_0007","谢谢你！
总觉得好羡慕。
你有各种各样的道具呢。","XMESS_0007","机翻辅助：

谢谢你！
总觉得好羡慕。
你有各种各样的道具呢。

谢谢！
总觉得很羡慕。
你有各种各样的工具呢。

谢谢总觉得很羡慕。
你有各种各样的工具呢。"
"XMESS_0008","虽然不是什么都有，
不过我们家从以前就经常全家一起出门。","XMESS_0008","机翻辅助：

虽然不是什么都有，
不过我们家从以前就经常全家一起出门。

虽然不是什么都有，
但是从以前开始和家人一起去了很多地方。

虽然不是什么都有，
但以前一家人经常去。"
