"source","target","id","developer_comments"
"XMESS_0000","小凛，
你有想去哪里吗？","XMESS_0000","机翻辅助：

小凛，
你有想去哪里吗？

凛，
有什么想去的地方吗？

凛，
你有什么想去的地方吗？"
"XMESS_0001","没有特别想去的地方呢。
","XMESS_0001","机翻辅助：

没有特别想去的地方呢。


没有特别想去的地方。"
"XMESS_0002","那么抚子，
你呢？","XMESS_0002","机翻辅助：

那么抚子，
你呢？

那么，抚子。
你呢？"
"XMESS_0003","嗯～～……
突然这么问，我一时之间也想不出来。","XMESS_0003","机翻辅助：

嗯～～……
突然这么问，我一时之间也想不出来。

嗯～～……
突然这么说，我也想不出来。

嗯……
突然被这么一说，我也一时想不起来。"
"XMESS_0004","说得也是。
如果想到想去的地方，
随时都可以告诉我。","XMESS_0004","机翻辅助：

说得也是。
如果想到想去的地方，
随时都可以告诉我。

那也是啊。
如果想到了想去的地方，
请随时跟我打招呼。

那也是。
如果有什么想去的地方，
随时跟我打招呼。"
"XMESS_0005","（想去的地方吗？
如果能在抵达当地之前先买好东西……
）","XMESS_0005","机翻辅助：

（想去的地方吗？
如果能在抵达当地之前先买好东西……
）

（是想去的地方吗？
如果在到达现场之前买好东西的话……
）

（想去的地方吗？
如果在到达现场之前买好的话……
）"
"XMESS_0006","岛村，
你有在四尾连湖露营的经验吗？","XMESS_0006","机翻辅助：

岛村，
你有在四尾连湖露营的经验吗？

岛林，
在四尾连湖的露营经验是？

有在西马林、
四尾连湖露营的经验吗？"
"XMESS_0007","一次也没有。","XMESS_0007","机翻辅助：

一次也没有。

一次都没有。"
"XMESS_0008","是哦？
跟我们一样呢。","XMESS_0008","机翻辅助：

是哦？
跟我们一样呢。

是吗？
和我们一样啊。

是吗？
和我们一样。"
"XMESS_0009","是啊。
距离志摩同学家没多远，
所以有点意外呢。","XMESS_0009","机翻辅助：

是啊。
距离志摩同学家没多远，
所以有点意外呢。

是啊。
因为是离志摩同学家不远的地方，
所以有点意外。

是啊。
因为是离志摩同学家没有那么远的地方，
所以有点意外。"
"XMESS_0010","（有那么意外吗？）","XMESS_0010","机翻辅助：

（有那么意外吗？）"
"XMESS_0011","（就这样笔直地前往四尾连湖　也不好玩啊。
）","XMESS_0011","机翻辅助：

（就这样笔直地前往四尾连湖　也不好玩啊。
）

（就这样一直往四尾连湖走也没意思。
）

（就这样一直往四尾连湖走也没意思啊）"
"XMESS_0012","（去四尾连湖之前先去别的地方吧，
买东西什么的都可以。
）","XMESS_0012","机翻辅助：

（去四尾连湖之前先去别的地方吧，
买东西什么的都可以。
）

（不管是买东西还是什么　在前往四尾连湖之前　先绕去其他地方吧。
）


（买东西什么的都可以，去四尾连湖之前顺便去一下别的地方吧）"
"XMESS_0013","（好啦，要去哪里好呢？）","XMESS_0013","机翻辅助：

（好啦，要去哪里好呢？）

（那么，哪里好呢？）

（那么，去哪里好呢？）"
