"source","target","id","developer_comments"
"metadata#0x0000f40e+10"," 删除","metadata#0x0000f40e+10","机翻辅助：

 删除

 的删除"
"metadata#0x00012984+11","未满16岁","metadata#0x00012984+11","机翻辅助：

未满16岁

未满十六岁"
"metadata#0x00012a91+11","20岁以上","metadata#0x00012a91+11","机翻辅助：

20岁以上

二十岁以上"
"metadata#0x00012a9c+11","未满20岁","metadata#0x00012a9c+11","机翻辅助：

未满20岁

未满二十岁"
"metadata#0x0003c3d5+347","版权声明本软件使用了（株）CRIFilter　“CRIWARE（TM）”。
　　字体　　协助　　FONTWORKS股份有限公司　　DynaFont为DynaComware Taiwan Inc.之注册商标。






 ","metadata#0x0003c3d5+347","机翻辅助：

版权声明本软件使用了（株）CRIFilter　“CRIWARE（TM）”。
　　字体　　协助　　FONTWORKS股份有限公司　　DynaFont为DynaComware Taiwan Inc.之注册商标。






 

权利标记该软件使用（株）CRI·中间件的“CRIWARE（TM）”。
合作字体工作株式会社DynaFont是DynaComware Taiwan Inc.的注册商标。






 

权利标记该软件使用（株）CRI中间件“CRIWARE （TM）”。
合作字体公司DynaFont是DynaComware Taiwan Inc.的注册商标。"
"metadata#0x0003c53f+60","●第X周·要读取日的纪录吗？","metadata#0x0003c53f+60","机翻辅助：

●第X周·要读取日的纪录吗？

●周·要加载星期几的数据吗？

●要加载周目·星期的数据吗？"
"metadata#0x0003c57b+113","●第X周·要读取日的纪录吗？读取后将失去目前状态。

","metadata#0x0003c57b+113","机翻辅助：

●第X周·要读取日的纪录吗？读取后将失去目前状态。



●周·要加载星期几的数据吗？加载后将丢失当前状态



●要加载周目·星期的数据吗？加载后就会丢失现在的状态。"
"metadata#0x0003c667+88","要取消“%TITLE_NAME%”
　纪录档的读取吗？","metadata#0x0003c667+88","机翻辅助：

要取消“%TITLE_NAME%”
　纪录档的读取吗？

是否取消“%TITLE_NAME%”
　的保存数据检查？

要取消对“% title_name %”
　保存数据的检查吗？"
"metadata#0x0003c6bf+69","正在读取“%TITLE_NAME%”纪录档。","metadata#0x0003c6bf+69","机翻辅助：

正在读取“%TITLE_NAME%”纪录档。

正在检查“%TITLE_NAME%”的保存数据

检查“% title_name %”的保存数据。"
"metadata#0x0003c716+24","【SNS】竹轮","metadata#0x0003c716+24","机翻辅助：

【SNS】竹轮"
"metadata#0x0003c72e+36","【SNS】各务原抚子","metadata#0x0003c72e+36","机翻辅助：

【SNS】各务原抚子"
"metadata#0x0003c752+27","【SNS】各务原樱","metadata#0x0003c752+27","机翻辅助：

【SNS】各务原樱"
"metadata#0x0003c76d+27","【SNS】大垣千明","metadata#0x0003c76d+27","机翻辅助：

【SNS】大垣千明"
"metadata#0x0003c788+27","【SNS】志摩凛","metadata#0x0003c788+27","机翻辅助：

【SNS】志摩凛"
"metadata#0x0003c7a3+27","【SNS】齐藤惠那","metadata#0x0003c7a3+27","机翻辅助：

【SNS】齐藤惠那"
"metadata#0x0003c7be+30","【SNS】犬山葵","metadata#0x0003c7be+30","机翻辅助：

【SNS】犬山葵"
"metadata#0x0003c7dc+27","【SNS】鸟羽美波","metadata#0x0003c7dc+27","机翻辅助：

【SNS】鸟羽美波"
"metadata#0x0003c86c+9","取消","metadata#0x0003c86c+9","机翻辅助：

取消

否

没有"
"metadata#0x0003c875+15","香菇帝国","metadata#0x0003c875+15","机翻辅助：

香菇帝国

蘑菇帝国"
"metadata#0x0003c884+51","要储存目前进度吗？","metadata#0x0003c884+51","机翻辅助：

要储存目前进度吗？

保存到这里为止的游戏吗？

到这里为止的比赛保存吗？"
"metadata#0x0003c8b7+36","要回到该场景吗？","metadata#0x0003c8b7+36","机翻辅助：

要回到该场景吗？

回到这个场景吗？"
"metadata#0x0003c8db+51","要读取该纪录档吗？","metadata#0x0003c8db+51","机翻辅助：

要读取该纪录档吗？

你要加载这个存档数据吗？

要加载这个保存数据吗？"
"metadata#0x0003c90e+51","要覆盖该纪录档吗？","metadata#0x0003c90e+51","机翻辅助：

要覆盖该纪录档吗？

您要覆盖此保存数据吗？

要重写这个保存数据吗？"
"metadata#0x0003c941+48","要删除该纪录档吗？","metadata#0x0003c941+48","机翻辅助：

要删除该纪录档吗？

您要删除此存档吗？

要删除这个保存数据吗？"
"metadata#0x0003c971+48","要消除该纪录档吗？","metadata#0x0003c971+48","机翻辅助：

要消除该纪录档吗？

要删除这个存档数据吗？

要删除这个保存数据吗？"
"metadata#0x0003c9a1+33","这样可以吗？","metadata#0x0003c9a1+33","机翻辅助：

这样可以吗？"
"metadata#0x0003c9c2+33","请稍候。","metadata#0x0003c9c2+33","机翻辅助：

请稍候。

请稍等片刻

请稍等一会儿"
"metadata#0x0003c9e3+116","请稍等一会儿，
不要切断主机的电源，
也不要结束游戏。","metadata#0x0003c9e3+116","机翻辅助：

请稍等一会儿，
不要切断主机的电源，
也不要结束游戏。

请稍候片刻，不要关闭主机电源或结束游戏。



请稍候请不要切断主机电源或退出游戏"
"metadata#0x0003ca57+9","竹轮","metadata#0x0003ca57+9","机翻辅助：

竹轮

鱼糕"
"metadata#0x0003ca60+15","竹轮将军","metadata#0x0003ca60+15","机翻辅助：

竹轮将军"
"metadata#0x0003ca6f+9","使用回复道具","metadata#0x0003ca6f+9","机翻辅助：

使用回复道具

中恢复

恢复"
"metadata#0x0003ca78+3","要","metadata#0x0003ca78+3","机翻辅助：

要

的

好吧"
"metadata#0x0003ca7b+36","和抚子两人去露营","metadata#0x0003ca7b+36","机翻辅助：

和抚子两人去露营

和抚子两人露营

和抚子两个人露营"
"metadata#0x0003ca9f+30","抚子－方案1A","metadata#0x0003ca9f+30","机翻辅助：

抚子－方案1A

抚子-计划1a

计划1A"
"metadata#0x0003cabd+30","抚子－方案1B","metadata#0x0003cabd+30","机翻辅助：

抚子－方案1B

抚子-计划1b

计划1B"
"metadata#0x0003cadb+30","抚子－方案1C","metadata#0x0003cadb+30","机翻辅助：

抚子－方案1C

抚子-计划1c

计划1C"
"metadata#0x0003caf9+30","抚子－方案2A","metadata#0x0003caf9+30","机翻辅助：

抚子－方案2A

抚子-计划2a

计划2A"
"metadata#0x0003cb17+30","抚子－方案2B","metadata#0x0003cb17+30","机翻辅助：

抚子－方案2B

抚子-计划2b

抚子－计划2B"
"metadata#0x0003cb35+30","抚子－方案2C","metadata#0x0003cb35+30","机翻辅助：

抚子－方案2C

抚子-计划2c

计划2C"
"metadata#0x0003cb53+30","抚子－方案3A","metadata#0x0003cb53+30","机翻辅助：

抚子－方案3A

抚子-计划3a

计划3A"
"metadata#0x0003cb71+30","抚子－方案3B","metadata#0x0003cb71+30","机翻辅助：

抚子－方案3B

计划3B

抚子- 3b计划"
"metadata#0x0003cb8f+30","抚子－方案3C","metadata#0x0003cb8f+30","机翻辅助：

抚子－方案3C

抚子-计划3c

计划3C"
"metadata#0x0003cbad+30","抚子－方案4A","metadata#0x0003cbad+30","机翻辅助：

抚子－方案4A

抚子-计划4a

计划4A"
"metadata#0x0003cbcb+30","抚子－方案4B","metadata#0x0003cbcb+30","机翻辅助：

抚子－方案4B

抚子-计划4b

抚子－计划4B"
"metadata#0x0003cbe9+30","抚子－方案4C","metadata#0x0003cbe9+30","机翻辅助：

抚子－方案4C

抚子-计划4c

计划4C"
"metadata#0x0003cc07+30","抚子－方案5A","metadata#0x0003cc07+30","机翻辅助：

抚子－方案5A

抚子-计划5a

计划5A"
"metadata#0x0003cc25+30","抚子－方案5B","metadata#0x0003cc25+30","机翻辅助：

抚子－方案5B

抚子－计划5B

抚子- 5b计划"
"metadata#0x0003cc43+30","抚子－方案5C","metadata#0x0003cc43+30","机翻辅助：

抚子－方案5C

抚子-计划5c

计划5C"
"metadata#0x0003cc61+30","抚子－方案6A","metadata#0x0003cc61+30","机翻辅助：

抚子－方案6A

抚子-计划6a

计划6A"
"metadata#0x0003cc7f+30","抚子－方案6B","metadata#0x0003cc7f+30","机翻辅助：

抚子－方案6B

抚子-计划6b

计划6B"
"metadata#0x0003cc9d+30","抚子－方案6C","metadata#0x0003cc9d+30","机翻辅助：

抚子－方案6C

抚子-计划6c

计划6C"
"metadata#0x0003ccbb+30","抚子－方案7A","metadata#0x0003ccbb+30","机翻辅助：

抚子－方案7A

抚子计划7a

计划7A"
"metadata#0x0003ccd9+30","抚子－方案7B","metadata#0x0003ccd9+30","机翻辅助：

抚子－方案7B

计划7B

抚子- 7b计划"
"metadata#0x0003ccf7+30","抚子－方案7C","metadata#0x0003ccf7+30","机翻辅助：

抚子－方案7C

抚子-计划7c

计划7C"
"metadata#0x0003cd15+30","抚子－方案8A","metadata#0x0003cd15+30","机翻辅助：

抚子－方案8A

计划8A

抚子- 8a计划"
"metadata#0x0003cd33+30","抚子－方案8B","metadata#0x0003cd33+30","机翻辅助：

抚子－方案8B

计划8B

抚子- 8b计划"
"metadata#0x0003cd51+30","抚子－方案8C","metadata#0x0003cd51+30","机翻辅助：

抚子－方案8C

抚子-计划8c

计划8C"
"metadata#0x0003cd6f+6","要","metadata#0x0003cd6f+6","机翻辅助：

要

是的

是"
"metadata#0x0003cd75+16","要，不要","metadata#0x0003cd75+16","机翻辅助：

要，不要

是，不是"
"metadata#0x0003cd85+39","大家一起过圣诞","metadata#0x0003cd85+39","机翻辅助：

大家一起过圣诞

大家一起圣诞露营

大家一起参加圣诞夏令营"
"metadata#0x0003cdac+12","再选一次","metadata#0x0003cdac+12","机翻辅助：

再选一次

再一次

再来一次"
"metadata#0x0003cdb8+9","使用","metadata#0x0003cdb8+9","机翻辅助：

使用"
"metadata#0x0003cdc1+6","·","metadata#0x0003cdc1+6","机翻辅助：

·

能源，能源

゠㄀"
"metadata#0x0003cdc7+21","使用道具回复","metadata#0x0003cdc7+21","机翻辅助：

使用道具回复

用道具回复

在项目中恢复"
"metadata#0x0003cddc+21","使用道具","metadata#0x0003cddc+21","机翻辅助：

使用道具

使用项目"
"metadata#0x0003cdf1+21","出售家具","metadata#0x0003cdf1+21","机翻辅助：

出售家具

室内装饰出售

出售室内装饰"
"metadata#0x0003ce06+36","东部荒野露营场","metadata#0x0003ce06+36","机翻辅助：

东部荒野露营场

伊斯特伍德营地

伊斯特伍德露营场"
"metadata#0x0003ce2a+24","追加角色","metadata#0x0003ce2a+24","机翻辅助：

追加角色

附加板

特别板"
"metadata#0x0003ce42+27","尾声·葵","metadata#0x0003ce42+27","机翻辅助：

尾声·葵

结尾葵"
"metadata#0x0003ce5d+30","终章·抚子","metadata#0x0003ce5d+30","机翻辅助：

终章·抚子

结尾抚子

尾声·抚子"
"metadata#0x0003ce7b+24","尾声·凛","metadata#0x0003ce7b+24","机翻辅助：

尾声·凛

尾声凛

结尾凛"
"metadata#0x0003ce93+24","尾声·千明","metadata#0x0003ce93+24","机翻辅助：

尾声·千明

结尾千明"
"metadata#0x0003ceab+24","尾声·惠那","metadata#0x0003ceab+24","机翻辅助：

尾声·惠那

结尾惠那"
"metadata#0x0003cec3+21","尾声·樱","metadata#0x0003cec3+21","机翻辅助：

尾声·樱

结尾樱"
"metadata#0x0003ced8+24","尾声·美波","metadata#0x0003ced8+24","机翻辅助：

尾声·美波

结尾美波"
"metadata#0x0003cef0+57","这里是自动存档点，无法存档","metadata#0x0003cef0+57","机翻辅助：

这里是自动存档点，无法存档

因为是自动保存的地方所以不能保存

因为它是自动保存的，所以不能保存。"
"metadata#0x0003cf29+18","卡利布","metadata#0x0003cf29+18","机翻辅助：

卡利布

卡里布

卡里布君"
"metadata#0x0003cf3b+42","要追加角色吗？","metadata#0x0003cf3b+42","机翻辅助：

要追加角色吗？

追加了角色

添加了一些角色。"
"metadata#0x0003cf65+15","取消","metadata#0x0003cf65+15","机翻辅助：

取消"
"metadata#0x0003cf74+54","要重设键盘设定吗？","metadata#0x0003cf74+54","机翻辅助：

要重设键盘设定吗？

要初始化关键信号设定吗？

是否初始化密钥配置设置？"
"metadata#0x0003cfaa+33","快速存档完成","metadata#0x0003cfaa+33","机翻辅助：

快速存档完成

已快速保存

快速保存。"
"metadata#0x0003cfcb+36","快速存档吗？","metadata#0x0003cfcb+36","机翻辅助：

快速存档吗？

要快速保存吗？"
"metadata#0x0003cfef+60","这里是快速存档点，无法存档","metadata#0x0003cfef+60","机翻辅助：

这里是快速存档点，无法存档

因为是快速保存的地方所以不能保存

因为是快速保存的地方，所以不能保存。"
