"source","target","id","developer_comments"
"XMESS_0000","（庄严之中又不失纤细……
）","XMESS_0000","机翻辅助：

（庄严之中又不失纤细……
）

（既庄严又细腻……
）

（既庄严又纤细……
）"
"XMESS_0001","（不愧是足以成为世界遗产的景点。）","XMESS_0001","机翻辅助：

（不愧是足以成为世界遗产的景点。）

（不愧是世界遗产）

（不愧是世界遗产啊）"
"XMESS_0002","水好清澈哦——","XMESS_0002","机翻辅助：

水好清澈哦——

水好干净啊。

水真干净啊。"
"XMESS_0003","因为是富士山的雪水，所以很清澈呢。","XMESS_0003","机翻辅助：

因为是富士山的雪水，所以很清澈呢。

因为是富士山的雪水，所以很清澈。"
"XMESS_0004","……","XMESS_0004","机翻辅助：

……

‥‥‥‥。

。"
"XMESS_0005","（樱姐姐之前也来过吗？）","XMESS_0005","机翻辅助：

（樱姐姐之前也来过吗？）

（樱姐姐，以前也来过吗？）

（樱姐姐，你以前也来过吗？）"
"XMESS_0006","（总觉得她的反应有点平淡……）","XMESS_0006","机翻辅助：

（总觉得她的反应有点平淡……）

（总觉得反应很淡……）

（应该说是反应冷淡吧……）"
"XMESS_0007","真是个好地方啊。
姐姐的心情好像也很好。","XMESS_0007","机翻辅助：

真是个好地方啊。
姐姐的心情好像也很好。

真是个好地方啊。
姐姐看起来也很高兴。

真的是个好地方呢——姐姐看起来也非常开心。"
"XMESS_0008","咦……？","XMESS_0008","机翻辅助：

咦……？

啊……？

诶……？"
"XMESS_0009","景色真的很棒呢。
空气也很清新，感觉很舒服。","XMESS_0009","机翻辅助：

景色真的很棒呢。
空气也很清新，感觉很舒服。

景色真好啊。
空气也很清新，很舒服。

景色真不错。
空气也很清新，很舒服。"
"XMESS_0010","嗯，有来真是太好了！","XMESS_0010","机翻辅助：

嗯，有来真是太好了！

嗯，能来真是太好了！"
"XMESS_0011","嗯，是啊。","XMESS_0011","机翻辅助：

嗯，是啊。"
"XMESS_0012","（看来……是我多心了。）","XMESS_0012","机翻辅助：

（看来……是我多心了。）

（我的……好像是想错了。）

（我的……好像是想多了。）"
"XMESS_0013","（樱姐姐玩得很开心。）","XMESS_0013","机翻辅助：

（樱姐姐玩得很开心。）

（樱姐姐，你玩得很开心。）"
"XMESS_0014","两个人都在那里排队。
我给你拍纪念照。","XMESS_0014","机翻辅助：

两个人都在那里排队。
我给你拍纪念照。

两个人并排站在那里。
我给你照张纪念照。

我来帮你们两个拍张纪念照。"
"XMESS_0015","啊，好的。","XMESS_0015","机翻辅助：

啊，好的。"
"XMESS_0016","那么，我要拍了哦。","XMESS_0016","机翻辅助：

那么，我要拍了哦。

那我走了。

那么，我走了。"
"XMESS_0017","来，笑一个。","XMESS_0017","机翻辅助：

来，笑一个。

是的，奶酪。

喂，奶酪。"
"XMESS_0018","谢谢您。","XMESS_0018","机翻辅助：

谢谢您。

非常感谢。

谢谢大家了。"
"XMESS_0019","不客气。","XMESS_0019","机翻辅助：

不客气。"
