"source","target","id","developer_comments"
"XMESS_0000","高孤独高原好远啊。
","XMESS_0000","机翻辅助：

高孤独高原好远啊。


很远的高波奇高原


遥远的纳波奇高原"
"XMESS_0001","嗯，
开车去也要花那么长时间啊","XMESS_0001","机翻辅助：

嗯，
开车去也要花那么长时间啊

嗯，
开车去也要花那么多钱啊

嗯，就算开车去，也要花那么久啊。"
"XMESS_0002","不过我打算下次骑机车去。
","XMESS_0002","机翻辅助：

不过我打算下次骑机车去。


但是下次我想骑摩托车去


但是我打算骑摩托车去。"
"XMESS_0003","咦，是吗？
难道是单人露营？","XMESS_0003","机翻辅助：

咦，是吗？
难道是单人露营？

啊，是吗？
难道是solo Can？

啊，是吗？
难道是独奏吗？"
"XMESS_0004","我是这么打算的。","XMESS_0004","机翻辅助：

我是这么打算的。

那个打算"
"XMESS_0005","辛苦了，
高孤独怎么样？","XMESS_0005","机翻辅助：

辛苦了，
高孤独怎么样？

辛苦了，
高宝奇怎么样？

您辛苦了，
怎么样？"
"XMESS_0006","可能有很多让人困惑的地方。
","XMESS_0006","机翻辅助：

可能有很多让人困惑的地方。


可能有很多困惑的事情


可能有很多困惑"
"XMESS_0007","也没有什么适合露营的设施。
","XMESS_0007","机翻辅助：

也没有什么适合露营的设施。


没有特别适合露营的设施


也没有特别的露营设施"
"XMESS_0008","不过，
也许只有在那样的地方才能提高露营的水平","XMESS_0008","机翻辅助：

不过，
也许只有在那样的地方才能提高露营的水平

不过，或许就是在这种地方，露营的技术才会进步吧。


但是，正因为是在那样的地方，露营的技术才会提高吧"
"XMESS_0009","原来如此，
或许确实如此。","XMESS_0009","机翻辅助：

原来如此，
或许确实如此。

原来如此，
也许的确如此

原来如此确实是这样啊"
"XMESS_0010","辛苦了，
高孤独还喜欢吗？","XMESS_0010","机翻辅助：

辛苦了，
高孤独还喜欢吗？

辛苦了，
你喜欢高宝奇吗？

辛苦了，
你喜欢高跷吗？"
"XMESS_0011","嗯，还不错。
虽然很远。","XMESS_0011","机翻辅助：

嗯，还不错。
虽然很远。

嗯，还不错。
总之很远。

嗯，还不错，虽然很远"
"XMESS_0012","从山顶附近眺望诹访湖，
真的很漂亮啊。","XMESS_0012","机翻辅助：

从山顶附近眺望诹访湖，
真的很漂亮啊。

从山顶附近眺望诹访湖，
真漂亮啊。

从山顶附近眺望的诹访湖好美啊"
"XMESS_0013","啊啊，那真是太棒了。","XMESS_0013","机翻辅助：

啊啊，那真是太棒了。

啊，那是最棒的

啊，那太棒了"
"XMESS_0014","就是说啊～","XMESS_0014","机翻辅助：

就是说啊～

是啊

是啊。"
"XMESS_0015","好了，
今天就先睡了吧。","XMESS_0015","机翻辅助：

好了，
今天就先睡了吧。

那么今天就睡吧


那么今天就睡觉吧"
"XMESS_0016","那么，
明天再见","XMESS_0016","机翻辅助：

那么，
明天再见

那么，
明天晚安

那么，明天见，晚安。"
"XMESS_0017","晚安（*´∀“*）
","XMESS_0017","机翻辅助：

晚安（*´∀“*）


不好意思（*´）的。


晚安（*´∀｀*）ノ"
