"source","target","id","developer_comments"
"XMESS_0000","本栖湖露营，
辛苦了","XMESS_0000","机翻辅助：

本栖湖露营，
辛苦了

本栖湖露营辛苦了


本栖湖露营辛苦啦！"
"XMESS_0001","嗯，辛苦了","XMESS_0001","机翻辅助：

嗯，辛苦了

哦，辛苦了"
"XMESS_0002","本栖湖真不错呢","XMESS_0002","机翻辅助：

本栖湖真不错呢

本栖湖真好啊

本栖湖真好啊。"
"XMESS_0003","感觉就像是随时都会欢迎我们回去的家一样
","XMESS_0003","机翻辅助：

感觉就像是随时都会欢迎我们回去的家一样


感觉是随时迎接我的站台


感觉就像是随时欢迎我的家。"
"XMESS_0004","是啊","XMESS_0004","机翻辅助：

是啊

浮渣

。"
"XMESS_0005","那么，克林杯结束以后，大家再一起去吧
","XMESS_0005","机翻辅助：

那么，克林杯结束以后，大家再一起去吧


那么克里坎恩结束后大家再一起去吧


好了，结束了，大家再一起去吧"
"XMESS_0006","赞成——！","XMESS_0006","机翻辅助：

赞成——！

先生！

日落！"
"XMESS_0007","抚子，你醒着吗？","XMESS_0007","机翻辅助：

抚子，你醒着吗？

抚子，起床了吗？

抚子，醒着吗？"
"XMESS_0008","醒着哦，
不过我正准备要睡了","XMESS_0008","机翻辅助：

醒着哦，
不过我正准备要睡了

我醒了，
我该睡觉了。

我醒了我要睡觉了"
"XMESS_0009","本栖湖露营真开心呢
","XMESS_0009","机翻辅助：

本栖湖露营真开心呢


本栖湖露营好开心啊


本栖湖露营真开心啊"
"XMESS_0010","很开心呢","XMESS_0010","机翻辅助：

很开心呢

很开心呢。

好开心啊"
"XMESS_0011","露营组的那两个人，
真是好搭档呢","XMESS_0011","机翻辅助：

露营组的那两个人，
真是好搭档呢

野来的那两个人，
是很好的组合啊。

野库尔的那两个人是很好的组合呢"
"XMESS_0012","不，
感觉是抚子配合他们两个","XMESS_0012","机翻辅助：

不，
感觉是抚子配合他们两个

不，
感觉是可以配合抚子的三重奏吗

不，
是把抚子合在一起的三重奏吗"
"XMESS_0013","嘿嘿（*´▽`）
谢谢～","XMESS_0013","机翻辅助：

嘿嘿（*´▽`）
谢谢～

嘿嘿（*´▽`）
谢谢

（*´▽`）
谢谢"
"XMESS_0014","本栖湖露营，
辛苦了","XMESS_0014","机翻辅助：

本栖湖露营，
辛苦了

本栖湖露营，
辛苦了。

本栖湖露营辛苦了"
"XMESS_0015","谢谢","XMESS_0015",""
"XMESS_0016","单人露营，
会不会寂寞？","XMESS_0016","机翻辅助：

单人露营，
会不会寂寞？

solo Can不寂寞吗？


你不寂寞吗？"
"XMESS_0017","不，
我已经习惯了","XMESS_0017","机翻辅助：

不，
我已经习惯了"
"XMESS_0018","嗯～
不愧是小凛！","XMESS_0018","机翻辅助：

嗯～
不愧是小凛！

嗯，
不愧是凛啊！"
"XMESS_0019","那么，
今天我要先睡了","XMESS_0019","机翻辅助：

那么，
今天我要先睡了

那么，
今天就睡觉了

那今天就睡吧"
"XMESS_0020","晚安。","XMESS_0020","机翻辅助：

晚安。

晚安"
"XMESS_0021","晚安。","XMESS_0021","机翻辅助：

晚安。

晚安"
