"source","target","id","developer_comments"
"XCMNT_0017","“下午　图书室”","XCMNT_0017","机翻辅助：

“下午　图书室”

“下午图书室”"
"XMESS_0000","露营季节本来是夏天，
但凛只有这个时期会露营吧？","XMESS_0000","机翻辅助：

露营季节本来是夏天，
但凛只有这个时期会露营吧？

露营季节本来是夏天，
但凛只在这个时候吧？

露营季节本来是夏天，
凛只有这个时期吧？"
"XMESS_0001","是没错。","XMESS_0001","机翻辅助：

是没错。

是啊。

话是这么说。"
"XMESS_0002","冬营有什么好处？
超冷的不是吗？","XMESS_0002","机翻辅助：

冬营有什么好处？
超冷的不是吗？

冬令营有什么好的？
真冷啊。

冬令营选什么好？
太冷了。"
"XMESS_0003","嗯——没有虫子，不会流汗，其他露营者很少，很安静。
","XMESS_0003","机翻辅助：

嗯——没有虫子，不会流汗，其他露营者很少，很安静。


嗯。
没有虫子。不出汗。其他的糖果很少，很安静。

嗯。
没有虫子。不出汗。其他露营的人很少，很安静。"
"XMESS_0004","篝火和温泉很舒服，
景色可以看得很远很远。","XMESS_0004","机翻辅助：

篝火和温泉很舒服，
景色可以看得很远很远。

篝火和温泉很舒服。
景色看起来很美。

篝火和温泉让人心情舒畅。
远处的景色都很漂亮。"
"XMESS_0005","汤很好喝……大概就这样吧。","XMESS_0005","机翻辅助：

汤很好喝……大概就这样吧。

汤很好喝……的地方吧。

汤很好喝……这样的地方吧。"
"XMESS_0006","这个时期的火锅很棒呢——","XMESS_0006","机翻辅助：

这个时期的火锅很棒呢——

这个时期的锅真好啊。

这个时期的火锅很不错呢。"
"XMESS_0007","我因为感冒所以没能参加，
不过之前去本栖湖露营时，
齐藤也有参加呢。","XMESS_0007","机翻辅助：

我因为感冒所以没能参加，
不过之前去本栖湖露营时，
齐藤也有参加呢。

我感冒了没能参加，
不过，
齐藤也参加了上次的本栖湖露营哟。

我因为感冒没能参加，之前齐藤也参加了本栖湖露营。"
"XMESS_0008","嗯。
外面虽然很冷，但有温暖的睡袋，睡得很熟哦。","XMESS_0008","机翻辅助：

嗯。
外面虽然很冷，但有温暖的睡袋，睡得很熟哦。

嗯。
外面虽然很冷，但我睡得很香。

嗯。
虽然外面很冷，但是很暖和，很香。"
"XMESS_0009","竹轮和我一样怕冷，不过如果只是去克莉丝坎，勉强可以接受。
","XMESS_0009","机翻辅助：

竹轮和我一样怕冷，不过如果只是去克莉丝坎，勉强可以接受。


竹轮也和我很像，不擅长冷，但是到栗子饼的话可能就可以了。


竹轮也和我一样怕冷，不过，到冻僵为止可能就OK了。"
"XMESS_0010","所以虽然没办法过夜，
但晚上到接我们回家为止，
应该可以一起享受露营。","XMESS_0010","机翻辅助：

所以虽然没办法过夜，
但晚上到接我们回家为止，
应该可以一起享受露营。

所以虽然不能留宿，
但在晚上来接我之前，
我想可以一起享受露营的乐趣。

所以不能住，但是到了晚上来接我之前可以一起享受露营的乐趣。"
"XMESS_0011","虽然太冷的地方不行，不过我参加露营的时候会带竹轮一起去哦。

","XMESS_0011","机翻辅助：

虽然太冷的地方不行，不过我参加露营的时候会带竹轮一起去哦。



虽然太冷的地方不行，但是我参加露营的时候也要带竹轮一起去哦。



太冷的地方不行，不过我参加露营的时候会带上竹轮。"
"XMESS_0012","嗯，我很期待。","XMESS_0012","机翻辅助：

嗯，我很期待。"
"XMESS_0013","在下次露营之前我也想存钱，
增加露营工具啊。
我得快点找兼职。","XMESS_0013","机翻辅助：

在下次露营之前我也想存钱，
增加露营工具啊。
我得快点找兼职。

下次露营之前我也想攒钱，
增加露营工具。
必须快点找工作。

在下次露营之前，我也要存钱，增加露营道具。
得快点找到打工才行。"
"XMESS_0014","我记得你已经有睡袋了吧。
还有其他想买的东西吗？","XMESS_0014","机翻辅助：

我记得你已经有睡袋了吧。
还有其他想买的东西吗？

施拉夫已经有了吧。
还有什么在意的吗？

修拉夫已经有了吧。
你还有什么在意的东西吗？"
"XMESS_0015","嗯～
最近露营杂志上刊登的蜡烛风提灯很复古，
感觉很可爱呢～","XMESS_0015","机翻辅助：

嗯～
最近露营杂志上刊登的蜡烛风提灯很复古，
感觉很可爱呢～

嗯，前几天在露营杂志上刊登的蜡烛风格的灯笼复古又可爱呢。



嗯，前几天露营杂志上登载的蜡烛风格的灯笼复古又可爱。"
"XMESS_0016","哦，那个啊。
摇曳的火焰很漂亮，很疗愈呢。","XMESS_0016","机翻辅助：

哦，那个啊。
摇曳的火焰很漂亮，很疗愈呢。

啊，是那个啊。
火焰的摇曳很美很治愈呢。

啊，是那个啊。
火焰的摇曳很漂亮，会被治愈的。"
"XMESS_0017","不过提灯也有各种各样的种类呢。
例如瓦斯提灯或LED之类的。
种类太多的话会让人犹豫呢。","XMESS_0017","机翻辅助：

不过提灯也有各种各样的种类呢。
例如瓦斯提灯或LED之类的。
种类太多的话会让人犹豫呢。

但是灯笼也有各种各样的种类吧。
煤气灯和LED之类的。
种类太多的话会迷路的。

不过灯笼也有很多种吧。
煤气灯、LED灯等。
种类太多的话会迷路的。"
"XMESS_0018","凛的灯笼是什么样子？","XMESS_0018","机翻辅助：

凛的灯笼是什么样子？

凛的灯笼是什么样的来着？

凛的灯笼是什么来着？"
"XMESS_0019","我用的是LED提灯。","XMESS_0019","机翻辅助：

我用的是LED提灯。

我用的是LED灯。

使用着LED灯。"
"XMESS_0020","哦，那跟瓦斯提灯有什么不同？","XMESS_0020","机翻辅助：

哦，那跟瓦斯提灯有什么不同？

啊，什么地方和煤气灯不一样？

什么地方和煤气灯不一样？"
