"source","target","id","developer_comments"
"XMESS_0000","难得的圣诞营，
我也想做些有圣诞节气氛的事情呢。","XMESS_0000","机翻辅助：

难得的圣诞营，
我也想做些有圣诞节气氛的事情呢。

难得有这样的机会，
也想做些圣诞气氛的事情。

难得的栗子蛋糕，
也想做各种圣诞节的事情啊。"
"XMESS_0001","有圣诞节气氛的事情？","XMESS_0001","机翻辅助：

有圣诞节气氛的事情？

圣诞节的感觉？

像圣诞节的事？"
"XMESS_0002","现在就开始想这个啦！
小凛，你有什么好主意吗？","XMESS_0002","机翻辅助：

现在就开始想这个啦！
小凛，你有什么好主意吗？

从现在开始考虑那个！
凛，有什么好的方案吗？

现在就开始考虑这个吧！
凛，你有什么好主意吗？"
"MSTD_0022-0","“可以做出像样的料理，”","MSTD_0022-0","机翻辅助：

“可以做出像样的料理，”

“把菜做得像那样吗”

“或者把菜做得像它一样。”"
"MSTD_0022-1","“装饰呢？”","MSTD_0022-1","机翻辅助：

“装饰呢？”

“要装饰的是？”"
"MSTD_0022-2","“不会马上出来呢。”","MSTD_0022-2","机翻辅助：

“不会马上出来呢。”

“你不会马上出来的”

“不会马上出来的”"
"XMESS_0003","像是用火鸡之类的食材，
做出平常露营不会用到的料理。
这样有模有样吗？","XMESS_0003","机翻辅助：

像是用火鸡之类的食材，
做出平常露营不会用到的料理。
这样有模有样吗？

火鸡啦，用平时露营时不用的食材做料理吧。



比如用火鸡之类平时露营中不使用的食材来做料理。"
"XMESS_0004","原来如此～～这确实是个考验厨艺的点子呢～～

","XMESS_0004","机翻辅助：

原来如此～～这确实是个考验厨艺的点子呢～～



原来如此。
那是又能考验料理能力的想法。


原来如此。
这又是一个考验厨艺的点子。"
"XMESS_0005","还是在帐篷和绳索上装饰成圣诞节风格？
","XMESS_0005","机翻辅助：

还是在帐篷和绳索上装饰成圣诞节风格？


在帐篷和绳索上装饰圣诞风格的是？


在帐篷和绳索上装饰圣诞风格的装饰物呢？"
"XMESS_0006","原来如此～～
如果缠上LED灯泡的电线，
就会更有圣诞节的感觉呢。","XMESS_0006","机翻辅助：

原来如此～～
如果缠上LED灯泡的电线，
就会更有圣诞节的感觉呢。

原来如此啊。
如果把带LED灯泡的配线缠在一起的话，
会变得更像那样。

原来如此。
如果再加上带有LED灯泡的布线，
就更像了。"
"XMESS_0007","一下子想不出来耶。
我再想想看。","XMESS_0007","机翻辅助：

一下子想不出来耶。
我再想想看。

不会马上出来的。
我考虑一下。

不能马上出来啊。
我想想看。"
"XMESS_0008","这样啊……
嗯，有没有好主意呢。","XMESS_0008","机翻辅助：

这样啊……
嗯，有没有好主意呢。

这样啊……
嗯，有没有好主意啊。

这样啊……嗯～～有没有什么好点子呢～～"
