"source","target","id","developer_comments"
"XMESS_0000","晚安～
明天的准备已经做好了吗？","XMESS_0000","机翻辅助：

晚安～
明天的准备已经做好了吗？

晚上好～
明天的准备已经准备好了吗？

晚上好～
明天的准备都做好了吗？"
"XMESS_0001","已经准备万全了，
小凛呢？","XMESS_0001","机翻辅助：

已经准备万全了，
小凛呢？

已经很棒了凛怎么样？


已经很好了凛怎么样？"
"XMESS_0002","我也万事俱备了。","XMESS_0002","机翻辅助：

我也万事俱备了。

我也是万事俱备

我也准备好了"
"XMESS_0003","嗨，明天是去本栖湖吗？
要带伴手礼回来哦！","XMESS_0003","机翻辅助：

嗨，明天是去本栖湖吗？
要带伴手礼回来哦！

明天是本栖湖？
请多关照！"
"XMESS_0004","嗯！
我会带一大堆松果回来的！","XMESS_0004","机翻辅助：

嗯！
我会带一大堆松果回来的！

嗯！
我带一大堆松果回去！

嗯！
我会带很多松子回家的！"
"XMESS_0005","来这招啊。","XMESS_0005","机翻辅助：

来这招啊。

是这么来的吗

是吗"
"XMESS_0006","路上小心哦～","XMESS_0006","机翻辅助：

路上小心哦～

路上小心啊

路上小心啊。"
"XMESS_0007","嗯！
谢谢！","XMESS_0007","机翻辅助：

嗯！
谢谢！"
"XMESS_0008","明天要搭抚子姐姐的车移动吗？
","XMESS_0008","机翻辅助：

明天要搭抚子姐姐的车移动吗？


明天坐抚子姐姐的车去？


明天坐抚子姐姐的车去吗？"
"XMESS_0009","嗯，预定是这样。","XMESS_0009","机翻辅助：

嗯，预定是这样。

嗯，是那个计划哦

嗯，是那个计划。"
"XMESS_0010","抚子，
一直承蒙姐姐照顾啊","XMESS_0010","机翻辅助：

抚子，
一直承蒙姐姐照顾啊

抚子，
一直受姐姐照顾啊

抚子老是受姐姐照顾呢。"
"XMESS_0011","是啊，
我心中只有感谢！","XMESS_0011","机翻辅助：

是啊，
我心中只有感谢！

是啊，
只有感谢了！

是啊，
只有感谢！"
