"source","target","id","developer_comments"
"XMESS_0000","你们两个听我说。","XMESS_0000","机翻辅助：

你们两个听我说。

喂，你们两个都问问。

嘿，你们两个都听着。"
"XMESS_0001","“九界牧场”
　和“白线瀑布”。
　如果要顺道去其中一处，该去哪边比较好？","XMESS_0001","机翻辅助：

“九界牧场”
　和“白线瀑布”。
　如果要顺道去其中一处，该去哪边比较好？

“珠海牧场”
　和“白丝瀑布”。
　如果要顺路去哪一边的话，哪个好呢？

“十层牧场”
　和“白丝瀑布”。
　如果顺路去其中一个的话，你选哪个？"
"XMESS_0002","在九阶牧场吃可丽饼。","XMESS_0002","机翻辅助：

在九阶牧场吃可丽饼。

在牧场的可丽饼。

十层牧场的可丽饼。"
"XMESS_0003","可、可丽饼？","XMESS_0003","机翻辅助：

可、可丽饼？

可丽饼？"
"XMESS_0004","（默契好到令人害怕。）","XMESS_0004","机翻辅助：

（默契好到令人害怕。）

（虽然气喘吁吁得可怕）

（虽然呼吸紧密得可怕）"
"XMESS_0005","（我可是一句“可丽饼”
　都没说过吧？）","XMESS_0005","机翻辅助：

（我可是一句“可丽饼”
　都没说过吧？）

（我一句话都没说“可丽饼”
　吧？）

（我没说过“可丽饼”
　吧？）"
"XMESS_0006","各位，
差不多该休息了吧。","XMESS_0006","机翻辅助：

各位，
差不多该休息了吧。

大家差不多该休息了吧。"
"XMESS_0007","哪里有优点了？","XMESS_0007","机翻辅助：

哪里有优点了？

有什么好的地方吗？

有什么好地方吗？"
"XMESS_0008","不过，九陔牧场怎么样呢？以休息场所来说，我觉得无可挑剔。

","XMESS_0008","机翻辅助：

不过，九陔牧场怎么样呢？以休息场所来说，我觉得无可挑剔。



牧场怎么样。
作为休息场所我觉得无可挑剔。


十层的牧场怎么样？我觉得作为休息场所是无可挑剔的。"
"XMESS_0009","与其说是休息场所……","XMESS_0009","机翻辅助：

与其说是休息场所……

应该说是休息场所吧……

是休息的地方吗……"
"XMESS_0010","应该是以购买下酒菜的地点来说无可挑剔吧？
","XMESS_0010","机翻辅助：

应该是以购买下酒菜的地点来说无可挑剔吧？


作为下酒菜的购买地是无可挑剔的错误吧？


作为下酒菜的购买处不是无可挑剔的错误吗？"
"XMESS_0011","……","XMESS_0011","机翻辅助：

……

‥‥‥‥。

。"
"XMESS_0012","居然不否认啊。","XMESS_0012","机翻辅助：

居然不否认啊。

我没有否定。

我不会否定的。"
"XMESS_0013","鸟羽老师真是个老实人。","XMESS_0013","机翻辅助：

鸟羽老师真是个老实人。

鸟羽老师也是老实人啊。

鸟羽先生真是个老实人。"
"XMESS_0014","啊，姐姐，停车。","XMESS_0014","机翻辅助：

啊，姐姐，停车。

啊，姐姐把车停下来。"
"XMESS_0015","等我一下，
我去自动贩卖机买果汁。","XMESS_0015","机翻辅助：

等我一下，
我去自动贩卖机买果汁。

请稍等一下。
用自动贩卖机买果汁来。

等一下。
我去自动售货机买果汁。"
"XMESS_0016","抚子这家伙，
是不是有点喝太多了？","XMESS_0016","机翻辅助：

抚子这家伙，
是不是有点喝太多了？

抚子那家伙是不是喝多了？


抚子那家伙是不是有点喝多了？"
"XMESS_0017","没问题吧？","XMESS_0017","机翻辅助：

没问题吧？

没事吧？

不要紧吧？"
"XMESS_0018","让她运动一下好了。","XMESS_0018","机翻辅助：

让她运动一下好了。

让他运动一下吧。

让我运动一下吧。"
"XMESS_0019","咦……？","XMESS_0019","机翻辅助：

咦……？

啊……？

诶……？"
"XMESS_0020","姐姐，等等我！
为什么丢下我！？","XMESS_0020","机翻辅助：

姐姐，等等我！
为什么丢下我！？

姐姐，等一下！
为什么要放在那里！？

姐姐，等等！
为什么要放着！？"
"XMESS_0021","等一下啦～！","XMESS_0021","机翻辅助：

等一下啦～！

等一下！

等等我！"
