"source","target","id","developer_comments"
"text#d41d8cd98f00b204e9800998ecf8427e","","text#d41d8cd98f00b204e9800998ecf8427e",""
"text#7633f2a1d092f5f11bec2d4968f7f8cd"," 自动生成","text#7633f2a1d092f5f11bec2d4968f7f8cd","机翻辅助：

 自动生成

 自动救援

 自动保存"
"text#2551708366d1170ffd646c67f190dec2"," 自动储存","text#2551708366d1170ffd646c67f190dec2","机翻辅助：

 自动储存

 快速保存"
"text#7c56dea722c3142070b4346b4c8abf7c","－NO　DATA－","text#7c56dea722c3142070b4346b4c8abf7c","机翻辅助：

－NO　DATA－

－NO DATA－

- NO DATA-"
"text#8577a52c2325dc00964c4a8a0189c495","［2人］和抚子两人露营","text#8577a52c2325dc00964c4a8a0189c495","机翻辅助：

［2人］和抚子两人露营

[2人]抚子和两人露营

[2人]和抚子2人一起露营"
"text#061da155af86ce97c14867107dc0e9ef","［东伍德露营场］视野良好的露营场 ","text#061da155af86ce97c14867107dc0e9ef","机翻辅助：

［东伍德露营场］视野良好的露营场 

[伊斯特伍德露营地]景致很好的露营地 

[伊斯特伍德露营地]视野绝佳的露营地"
"text#edd939caa0b8fb8585ade8593e0c8559","文字中央对齐","text#edd939caa0b8fb8585ade8593e0c8559","机翻辅助：

文字中央对齐

文字居中"
"text#39409cbc0198e6c8f9bc9161f7484091","○","text#39409cbc0198e6c8f9bc9161f7484091","机翻辅助：

○

〇

是的"
"text#100b4e36879b3a001ee300807407025a","每行MAX20字左右？567890","text#100b4e36879b3a001ee300807407025a","机翻辅助：

每行MAX20字左右？567890

1行，MAX20字左右？567890

1行MAX20个字左右？567890"
"text#85afaa7e7f9520feba5ee69ce822c727","第一周","text#85afaa7e7f9520feba5ee69ce822c727","机翻辅助：

第一周"
"text#90a6193279cbcc3ac5158db54719fbf3","第二周","text#90a6193279cbcc3ac5158db54719fbf3","机翻辅助：

第二周"
"text#a73a49956908b27d7ac2b29ebbad49d8","三月","text#a73a49956908b27d7ac2b29ebbad49d8","机翻辅助：

三月

3月"
"text#0f6cbe7d6cecb6a6f5d1a2ed9d72f8ad","第三周","text#0f6cbe7d6cecb6a6f5d1a2ed9d72f8ad","机翻辅助：

第三周"
"text#28b420a4becfdd3e30a697875f3d1cc3","第三周 五日","text#28b420a4becfdd3e30a697875f3d1cc3","机翻辅助：

第三周 五日

第三周的星期五

第三个星期五"
"text#d80c6b7ea2c272f97d06cb4be9052ee4","第三章","text#d80c6b7ea2c272f97d06cb4be9052ee4","机翻辅助：

第三章

第3章"
"text#7b955deaf8fc27898d4455cbdafd8002","第四周","text#7b955deaf8fc27898d4455cbdafd8002","机翻辅助：

第四周

第4周"
"text#0f9a1fafdb522a90a6f45aafd6f35220","第五周","text#0f9a1fafdb522a90a6f45aafd6f35220","机翻辅助：

第五周

第5周"
"text#4e54835c6e9cf0b901bd7c2ca14cf255","7：相马主题2已发生，除主要10大石、鹿取路线通过外，可选择角色显示
","text#4e54835c6e9cf0b901bd7c2ca14cf255","机翻辅助：

7：相马主题2已发生，除主要10大石、鹿取路线通过外，可选择角色显示


相马主题2发生完毕，主10大石，鹿取路线通过完毕的情况除外，作为可选择角色表示


7：相马主题2发生完毕，除了主要10大石、鹿取路线通过的情况以外，作为可选择的角色显示"
"text#cf50403b48fee8f0cd18c3df255c8533","8：主要09陆奥路线或，
除主要10的三木、中村、富山路线通过外，
可选择角色显示","text#cf50403b48fee8f0cd18c3df255c8533","机翻辅助：

8：主要09陆奥路线或，
除主要10的三木、中村、富山路线通过外，
可选择角色显示

8：除了主要09陆奥路线或主要10的三木、中村、富山路线通过的情况以外，作为可选择的角色显示



主09陆奥路线或主10的三木，中村，富山路线通过完毕的情况除外，作为可选择角色表示"
"text#5e28a02b3ab42af196cbaa6d1e59f51b","BGM音量","text#5e28a02b3ab42af196cbaa6d1e59f51b","机翻辅助：

BGM音量

背景音乐音量"
"text#9320b29acbb83eff76f84c0a6aa2108e","CGNO.046　“在此一张1”","text#9320b29acbb83eff76f84c0a6aa2108e","机翻辅助：

CGNO.046　“在此一张1”

CG№046“这里一张1”

CG首046甜心甜心“甜心甜心甜心”"
"text#6b0a64fa19e07c4e97a64a3eae4c674d","CG相簿","text#6b0a64fa19e07c4e97a64a3eae4c674d","机翻辅助：

CG相簿

CG专辑

CG影集"
"text#1b8ecc2a2556d6c9d8f739709d80c417","EV标题MAX文字数14","text#1b8ecc2a2556d6c9d8f739709d80c417","机翻辅助：

EV标题MAX文字数14

EV标题MAX字符数14"
"text#96b561987f2a3126fb46e0177103b900","音效音量","text#96b561987f2a3126fb46e0177103b900","机翻辅助：

音效音量

SE卷

SE音量"
"text#6407a3587f6e5a9468bc7f3afbbb7b57","X：配对Y：主题（1～6）L：主题7R：主题8※主题1～6与7、8似乎同时成立。




","text#6407a3587f6e5a9468bc7f3afbbb7b57","机翻辅助：

X：配对Y：主题（1～6）L：主题7R：主题8※主题1～6与7、8似乎同时成立。






X：耦合Y：主题（1 ～ 6）L：主题7r：主题8※主题1 ～ 6和7 / 8似乎同时成立。






X：C/W Y：主题（1～6）L：主题7R：主题8※主题1～6和7/8同时成立。"
"text#f8a5c84342708154a2a074940457a296","啊啊啊啊啊","text#f8a5c84342708154a2a074940457a296",""
"text#d229a442fc474ee78b4dad03c253551a","事件相簿","text#d229a442fc474ee78b4dad03c253551a","机翻辅助：

事件相簿

活动专辑

活动相册"
"text#ba6e2a0e0247fde91eaa860ed2003ca4","关闭视窗","text#ba6e2a0e0247fde91eaa860ed2003ca4","机翻辅助：

关闭视窗

窗口清除

窗口消除"
"text#6da36c131d67c09fc683b2eda78ec0f7","终章·抚子","text#6da36c131d67c09fc683b2eda78ec0f7","机翻辅助：

终章·抚子

结尾抚子

尾声·抚子"
"text#70882520bf050fb017732ec8479e8813","自动存档","text#70882520bf050fb017732ec8479e8813","机翻辅助：

自动存档

自动保存。

已自动保存"
"text#bc1194c8d982ea1950b85edd662c666c","自动游戏时截图存档","text#bc1194c8d982ea1950b85edd662c666c","机翻辅助：

自动游戏时截图存档

自动播放时保存屏幕快照

自动运行时保存屏幕截图"
"text#d2d3d48e7b6179321c6da6758c36b40c","读取前一个纪录","text#d2d3d48e7b6179321c6da6758c36b40c","机翻辅助：

读取前一个纪录

子程序

单行道路"
"text#cac86f2317798f150e60d681868b2ab2","选项","text#cac86f2317798f150e60d681868b2ab2","机翻辅助：

选项

选项卡页面上创建或编辑条目

选项。"
"text#f8073d1b014ca1a18537e92a26d59567","导引开／关\r","text#f8073d1b014ca1a18537e92a26d59567","机翻辅助：

导引开／关\r

向导off\r

关闭引导\r"
"text#12695ee1ebb3e90044814abb47024a1e","变更类别","text#12695ee1ebb3e90044814abb47024a1e","机翻辅助：

变更类别

类别更改

类别变更"
"text#6ef34982969f60212f6f2565454d7beb","取消","text#6ef34982969f60212f6f2565454d7beb","机翻辅助：

取消"
"text#b886225e52f80ef0b2fbf9bc90cef4de","请选择营地","text#b886225e52f80ef0b2fbf9bc90cef4de","机翻辅助：

请选择营地

请选择露营地

请选择营地。"
"text#0bd1ce2eea356832f93576c77ad2a2b3","快速存档","text#0bd1ce2eea356832f93576c77ad2a2b3","机翻辅助：

快速存档

快速保存"
"text#a1681cf5f9c7a3fa47306bdd37fe3dc7","快速存档完成","text#a1681cf5f9c7a3fa47306bdd37fe3dc7","机翻辅助：

快速存档完成

已快速保存

快速保存。"
"text#af0ae6ccfcff689f31e8d98e7003e6a5","快速读档","text#af0ae6ccfcff689f31e8d98e7003e6a5","机翻辅助：

快速读档

快速加载

快速载入"
"text#34bb3e1671f697e07ab806c6b39f91e8","音响","text#34bb3e1671f697e07ab806c6b39f91e8","机翻辅助：

音响

声音"
"text#2e8e42e60e535e7173d9b58f7cd5f91b","场景","text#2e8e42e60e535e7173d9b58f7cd5f91b","机翻辅助：

场景"
"text#77c17e5690567fae9f6a9b8e50c493b2","场景重播","text#77c17e5690567fae9f6a9b8e50c493b2","机翻辅助：

场景重播

场景回放"
"text#11538fb346217d1a3595c72ec843611e","系统音效音量","text#11538fb346217d1a3595c72ec843611e","机翻辅助：

系统音效音量

系统SE卷

系统SE音量"
"text#e416b734dfa83bccdd4f39d9912e1fb4","跳跃","text#e416b734dfa83bccdd4f39d9912e1fb4","机翻辅助：

跳跃"
"text#be2cda9a6076b0e63247226ecf50b725","快转模式","text#be2cda9a6076b0e63247226ecf50b725","机翻辅助：

快转模式

跳跃模式"
"text#54dd8a769def3617064d1522a99ebe45","状态","text#54dd8a769def3617064d1522a99ebe45","机翻辅助：

状态"
"text#24ef6b20ec60fe5fd7f7858e75f546c2","存档","text#24ef6b20ec60fe5fd7f7858e75f546c2","机翻辅助：

存档

救球

保存"
"text#5a9e237f309b1cd8b9bc3c697faadaf0","没有存档","text#5a9e237f309b1cd8b9bc3c697faadaf0","机翻辅助：

没有存档

没有保存数据

没有保存数据。"
"text#02e915b7b24f12938773a12ba5fc2fbb","其他","text#02e915b7b24f12938773a12ba5fc2fbb","机翻辅助：

其他"
"text#6d2e935eb12dbf6247a8f8c50db04c02","返回标题","text#6d2e935eb12dbf6247a8f8c50db04c02","机翻辅助：

返回标题

回到标题"
"text#8fb14d4337ff51ddb674c0c2999ee219","返回标题","text#8fb14d4337ff51ddb674c0c2999ee219","机翻辅助：

返回标题

回到标题"
"text#156b2501ff7b0bff66df1f30530d1cd5","继续","text#156b2501ff7b0bff66df1f30530d1cd5","机翻辅助：

继续

从下一个开始

从后面开始"
"text#eca9fdc54848abeb27b3184b8153049d","重新开始","text#eca9fdc54848abeb27b3184b8153049d","机翻辅助：

重新开始

从一开始

从头开始"
"text#cd819b45e9b9602682ad3ea099415523","计划1","text#cd819b45e9b9602682ad3ea099415523","机翻辅助：

计划1

方案1"
"text#9912fd374c180d647b04241c96326f53","计划2","text#9912fd374c180d647b04241c96326f53","机翻辅助：

计划2"
"text#52145656342b64196e98221bf082d002","计划3","text#52145656342b64196e98221bf082d002","机翻辅助：

计划3"
"text#14241823532e1d17c0393523a7b3d309","计划4","text#14241823532e1d17c0393523a7b3d309","机翻辅助：

计划4

方案4"
"text#da18aed966a8272bec81fb667df72ec4","计划5","text#da18aed966a8272bec81fb667df72ec4","机翻辅助：

计划5"
"text#43fb85d7edee1c0ef26fd8d4e381934a","计划6","text#43fb85d7edee1c0ef26fd8d4e381934a","机翻辅助：

计划6"
"text#b74b820accf3789647cd8de71761e952","计划7","text#b74b820accf3789647cd8de71761e952","机翻辅助：

计划7"
"text#4826ecd376b28e5e4f66c582b9cf3261","计划8","text#4826ecd376b28e5e4f66c582b9cf3261","机翻辅助：

计划8"
"text#b6e2ba98e722a691b0c9faf086f8bf71","游戏时间","text#b6e2ba98e722a691b0c9faf086f8bf71","机翻辅助：

游戏时间"
"text#468ee3508deac6cc1ef8939d43ff0f9b","切换页面","text#468ee3508deac6cc1ef8939d43ff0f9b","机翻辅助：

切换页面

页面切换"
"text#e489e4d8c7d6857b685e773e05691ad4","语音","text#e489e4d8c7d6857b685e773e05691ad4","机翻辅助：

语音

声音"
"text#a4d278ebe89dfc77a474c5fad543c2f6","语音音量","text#a4d278ebe89dfc77a474c5fad543c2f6","机翻辅助：

语音音量

语音卷

音量"
"text#f6e6fe21107a4f71c5518d2c58b6ca43","说明书","text#f6e6fe21107a4f71c5518d2c58b6ca43","机翻辅助：

说明书

手册"
"text#f0db1bb87670d8c462ce37476d7e7f48","大家一起过圣诞","text#f0db1bb87670d8c462ce37476d7e7f48","机翻辅助：

大家一起过圣诞

大家一起圣诞露营

大家一起参加圣诞夏令营"
"text#fb96039651849fc8b4fbe201b50afbb0","信息","text#fb96039651849fc8b4fbe201b50afbb0","机翻辅助：

信息"
"text#ea082e91c9b19decb8ddd886169e5f99","信息自动速度","text#ea082e91c9b19decb8ddd886169e5f99","机翻辅助：

信息自动速度

信息自动发送速度"
"text#d5d62cf3919cd78ccf6945727e45a548","信息速度","text#d5d62cf3919cd78ccf6945727e45a548","机翻辅助：

信息速度"
"text#9013ced74db9ad36e35f526a5c4f5978","选单","text#9013ced74db9ad36e35f526a5c4f5978","机翻辅助：

选单

菜单

菜单。"
"text#28ba4ddd2684accb608c244e7fffe45d","读取","text#28ba4ddd2684accb608c244e7fffe45d","机翻辅助：

读取

载入

路"
"text#006d29beda44e2a0098754bacb094881","读取中","text#006d29beda44e2a0098754bacb094881","机翻辅助：

读取中

加载执行"
"text#2d345c8c7deca1e733c7bd33cb2bcfd2","纪录开头","text#2d345c8c7deca1e733c7bd33cb2bcfd2","机翻辅助：

纪录开头

日志开头"
"text#a2e1d8bccad9bbaae0000f2d135e3d64","显示纪录","text#a2e1d8bccad9bbaae0000f2d135e3d64","机翻辅助：

显示纪录

日志显示

记录显示"
"text#3a22fae8c7175f1b6944a159ea4bdba1","纪录结尾","text#3a22fae8c7175f1b6944a159ea4bdba1","机翻辅助：

纪录结尾

日志末尾"
"text#0f4b1747846d0f0efc87312ee82995d3","安藤　瞳","text#0f4b1747846d0f0efc87312ee82995d3","机翻辅助：

安藤　瞳

安藤瞳"
